SNO.,Year,Death Rate,Growth Rate
1,2020,7.978,-0.0217
2,2019,8.155,-0.0212
3,2018,8.332,-0.0417
4,2017,8.695,-0.0401
5,2016,9.058,-0.0384
6,2015,9.42,-0.0371
7,2014,9.783,-0.0358
8,2013,10.146,-0.0612
9,2012,10.807,-0.0576
10,2011,11.468,-0.0545
11,2010,12.129,-0.0517
12,2009,12.79,-0.0491
13,2008,13.451,-0.0478
14,2007,14.126,-0.0457
15,2006,14.802,-0.0436
16,2005,15.477,-0.0418
17,2004,16.153,-0.0401
18,2003,16.828,-0.0232
19,2002,17.227,-0.0226
20,2001,17.626,-0.0221
21,2000,18.025,-0.0217
22,1999,18.424,-0.0212
23,1998,18.823,-0.0068
24,1997,18.952,-0.0068
25,1996,19.082,-0.0067
26,1995,19.211,-0.0067
27,1994,19.341,-0.0066
28,1993,19.47,-0.0014
29,1992,19.498,-0.0014
30,1991,19.525,-0.0014
31,1990,19.553,-0.0014
32,1989,19.58,-0.0014
33,1988,19.608,-0.0049
34,1987,19.704,-0.0048
35,1986,19.8,-0.0048
36,1985,19.896,-0.0048
37,1984,19.992,-0.0048
38,1983,20.088,-0.009
39,1982,20.27,-0.0089
40,1981,20.452,-0.0089
41,1980,20.635,-0.0087
42,1979,20.817,-0.0087
43,1978,20.999,-0.0131
44,1977,21.278,-0.0129
45,1976,21.557,-0.0128
46,1975,21.837,-0.0126
47,1974,22.116,-0.0125
48,1973,22.395,-0.0253
49,1972,22.977,-0.0247
50,1971,23.559,-0.0241
51,1970,24.14,-0.0235
52,1969,24.722,-0.023
53,1968,25.304,-0.0084
54,1967,25.519,-0.0084
55,1966,25.734,-0.0083
56,1965,25.95,-0.0082
57,1964,26.165,-0.0082
58,1963,26.38,-0.0096
59,1962,26.636,-0.0095
60,1961,26.891,-0.0094
61,1960,27.147,-0.0093
62,1959,27.402,-0.0093
63,1958,27.658,-0.0012
64,1957,27.69,-0.0012
65,1956,27.722,-0.0012
66,1955,27.755,-0.0012
67,1954,27.787,-0.0012
68,1953,27.819,-0.0011
69,1952,27.851,-0.0011
70,1951,27.883,-0.0012
71,1950,27.916,0
