S NO.,Year,Death Rate,Growth Rate
1,2020,5.541,-0.0007
2,2019,5.545,-0.0005
3,2018,5.548,-0.002
4,2017,5.559,-0.002
5,2016,5.57,-0.002
6,2015,5.581,-0.002
7,2014,5.592,-0.002
8,2013,5.603,-0.0122
9,2012,5.672,-0.0122
10,2011,5.742,-0.0119
11,2010,5.811,-0.0119
12,2009,5.881,-0.0116
13,2008,5.95,-0.0198
14,2007,6.07,-0.0194
15,2006,6.19,-0.0189
16,2005,6.309,-0.0187
17,2004,6.429,-0.0183
18,2003,6.549,-0.026
19,2002,6.724,-0.0252
20,2001,6.898,-0.0247
21,2000,7.073,-0.024
22,1999,7.247,-0.0236
23,1998,7.422,-0.0492
24,1997,7.806,-0.0469
25,1996,8.19,-0.0449
26,1995,8.575,-0.0429
27,1994,8.959,-0.0411
28,1993,9.343,-0.0424
29,1992,9.757,-0.0408
30,1991,10.172,-0.0391
31,1990,10.586,-0.0377
32,1989,11.001,-0.0363
33,1988,11.415,-0.0378
34,1987,11.864,-0.0365
35,1986,12.314,-0.0352
36,1985,12.763,-0.0341
37,1984,13.213,-0.0329
38,1983,13.662,-0.0263
39,1982,14.031,-0.0256
40,1981,14.399,-0.025
41,1980,14.768,-0.0243
42,1979,15.136,-0.0238
43,1978,15.505,-0.0529
44,1977,16.371,-0.0503
45,1976,17.238,-0.0478
46,1975,18.104,-0.0457
47,1974,18.971,-0.0437
48,1973,19.837,0.0214
49,1972,19.421,0.0219
50,1971,19.005,0.0224
51,1970,18.588,0.0229
52,1969,18.172,0.0234
53,1968,17.756,-0.0169
54,1967,18.062,-0.0167
55,1966,18.368,-0.0164
56,1965,18.675,-0.0161
57,1964,18.981,-0.0159
58,1963,19.287,-0.0237
59,1962,19.756,-0.0232
60,1961,20.226,-0.0227
61,1960,20.695,-0.0222
62,1959,21.165,-0.0217
63,1958,21.634,-0.0283
64,1957,22.263,-0.0275
65,1956,22.892,-0.0268
66,1955,23.522,-0.026
67,1954,24.151,-0.0254
68,1953,24.78,-0.0248
69,1952,25.409,-0.0242
70,1951,26.038,-0.0236
71,1950,26.668,0
