S NO.,Year,Death Rate,Growth Rate
1,2020,7.089,0.0045
2,2019,7.057,0.0047
3,2018,7.024,0.0034
4,2017,7,0.0034
5,2016,6.976,0.0036
6,2015,6.951,0.0035
7,2014,6.927,0.0035
8,2013,6.903,0.0031
9,2012,6.882,0.0031
10,2011,6.861,0.0029
11,2010,6.841,0.0031
12,2009,6.82,0.0031
13,2008,6.799,0.0031
14,2007,6.778,0.0031
15,2006,6.757,0.003
16,2005,6.737,0.0031
17,2004,6.716,0.0031
18,2003,6.695,-0.0073
19,2002,6.744,-0.0072
20,2001,6.793,-0.0072
21,2000,6.842,-0.0071
22,1999,6.891,-0.0071
23,1998,6.94,-0.0125
24,1997,7.028,-0.0125
25,1996,7.117,-0.0122
26,1995,7.205,-0.0122
27,1994,7.294,-0.0119
28,1993,7.382,-0.0438
29,1992,7.72,-0.0419
30,1991,8.058,-0.0401
31,1990,8.395,-0.0387
32,1989,8.733,-0.0373
33,1988,9.071,-0.0443
34,1987,9.491,-0.0424
35,1986,9.911,-0.0406
36,1985,10.33,-0.0391
37,1984,10.75,-0.0376
38,1983,11.17,-0.0139
39,1982,11.328,-0.0138
40,1981,11.487,-0.0136
41,1980,11.645,-0.0135
42,1979,11.804,-0.0132
43,1978,11.962,-0.0094
44,1977,12.076,-0.0094
45,1976,12.19,-0.0093
46,1975,12.304,-0.0092
47,1974,12.418,-0.0091
48,1973,12.532,-0.0223
49,1972,12.818,-0.0218
50,1971,13.103,-0.0214
51,1970,13.389,-0.0208
52,1969,13.674,-0.0205
53,1968,13.96,-0.0269
54,1967,14.346,-0.0263
55,1966,14.733,-0.0255
56,1965,15.119,-0.025
57,1964,15.506,-0.0243
58,1963,15.892,-0.03
59,1962,16.383,-0.029
60,1961,16.873,-0.0283
61,1960,17.364,-0.0274
62,1959,17.854,-0.0268
63,1958,18.345,-0.0274
64,1957,18.862,-0.0267
65,1956,19.38,-0.026
66,1955,19.897,-0.0254
67,1954,20.415,-0.0247
68,1953,20.932,-0.0241
69,1952,21.449,-0.0236
70,1951,21.967,-0.023
71,1950,22.484,0
