SNO.,Year,Death Rate,Growth Rate
1,2020,12.785,-0.0024
2,2019,12.816,-0.0025
3,2018,12.848,-0.0053
4,2017,12.916,-0.0053
5,2016,12.985,-0.0052
6,2015,13.053,-0.0053
7,2014,13.122,-0.0052
8,2013,13.19,0.0059
9,2012,13.112,0.006
10,2011,13.034,0.0061
11,2010,12.955,0.0061
12,2009,12.877,0.0061
13,2008,12.799,0.0142
14,2007,12.62,0.0144
15,2006,12.441,0.0147
16,2005,12.261,0.0148
17,2004,12.082,0.015
18,2003,11.903,0.0092
19,2002,11.794,0.0093
20,2001,11.685,0.0095
21,2000,11.575,0.0095
22,1999,11.466,0.0096
23,1998,11.357,0.0284
24,1997,11.043,0.0293
25,1996,10.729,0.0301
26,1995,10.415,0.0311
27,1994,10.101,0.0321
28,1993,9.787,0.0128
29,1992,9.663,0.013
30,1991,9.539,0.0132
31,1990,9.415,0.0133
32,1989,9.291,0.0135
33,1988,9.167,-0.0027
34,1987,9.192,-0.0028
35,1986,9.218,-0.0027
36,1985,9.243,-0.0028
37,1984,9.269,-0.0027
38,1983,9.294,0.0118
39,1982,9.186,0.0118
40,1981,9.079,0.012
41,1980,8.971,0.0121
42,1979,8.864,0.0123
43,1978,8.756,-0.0096
44,1977,8.841,-0.0095
45,1976,8.926,-0.0095
46,1975,9.012,-0.0093
47,1974,9.097,-0.0093
48,1973,9.182,-0.0157
49,1972,9.328,-0.0153
50,1971,9.473,-0.0152
51,1970,9.619,-0.0149
52,1969,9.764,-0.0147
53,1968,9.91,-0.0322
54,1967,10.24,-0.0312
55,1966,10.57,-0.0303
56,1965,10.9,-0.0294
57,1964,11.23,-0.0285
58,1963,11.56,-0.0284
59,1962,11.898,-0.0276
60,1961,12.236,-0.0268
61,1960,12.573,-0.0262
62,1959,12.911,-0.0255
63,1958,13.249,-0.0244
64,1957,13.58,-0.0238
65,1956,13.911,-0.0232
66,1955,14.241,-0.0227
67,1954,14.572,-0.0222
68,1953,14.903,-0.0217
69,1952,15.234,-0.0213
70,1951,15.565,-0.0208
71,1950,15.895,0
