S NO.,Year,Death Rate,Growth Rate
1,2020,6.304,-0.0025
2,2019,6.32,-0.0025
3,2018,6.336,-0.0163
4,2017,6.441,-0.0159
5,2016,6.545,-0.0158
6,2015,6.65,-0.0154
7,2014,6.754,-0.0153
8,2013,6.859,-0.0094
9,2012,6.924,-0.0092
10,2011,6.988,-0.0092
11,2010,7.053,-0.009
12,2009,7.117,-0.0091
13,2008,7.182,-0.0095
14,2007,7.251,-0.0094
15,2006,7.32,-0.0095
16,2005,7.39,-0.0093
17,2004,7.459,-0.0092
18,2003,7.528,-0.0234
19,2002,7.708,-0.0227
20,2001,7.887,-0.0223
21,2000,8.067,-0.0217
22,1999,8.246,-0.0214
23,1998,8.426,-0.0258
24,1997,8.649,-0.025
25,1996,8.871,-0.0245
26,1995,9.094,-0.0238
27,1994,9.316,-0.0234
28,1993,9.539,-0.0227
29,1992,9.761,-0.0222
30,1991,9.983,-0.0218
31,1990,10.205,-0.0213
32,1989,10.427,-0.0208
33,1988,10.649,-0.0223
34,1987,10.892,-0.0218
35,1986,11.135,-0.0214
36,1985,11.379,-0.0209
37,1984,11.622,-0.0205
38,1983,11.865,-0.0106
39,1982,11.992,-0.0106
40,1981,12.12,-0.0104
41,1980,12.247,-0.0103
42,1979,12.375,-0.0102
43,1978,12.502,-0.0116
44,1977,12.649,-0.0116
45,1976,12.797,-0.0114
46,1975,12.944,-0.0113
47,1974,13.092,-0.0111
48,1973,13.239,-0.0295
49,1972,13.642,-0.0287
50,1971,14.045,-0.0279
51,1970,14.448,-0.0271
52,1969,14.851,-0.0264
53,1968,15.254,-0.0352
54,1967,15.81,-0.034
55,1966,16.366,-0.0329
56,1965,16.922,-0.0318
57,1964,17.478,-0.0308
58,1963,18.034,-0.0242
59,1962,18.482,-0.0237
60,1961,18.93,-0.0231
61,1960,19.378,-0.0226
62,1959,19.826,-0.0221
63,1958,20.274,-0.0184
64,1957,20.653,-0.0181
65,1956,21.033,-0.0177
66,1955,21.412,-0.0174
67,1954,21.792,-0.0171
68,1953,22.171,-0.0168
69,1952,22.55,-0.0166
70,1951,22.93,-0.0163
71,1950,23.309,0
