SNO.,Year,Death Rate,Growth Rate
1,2020,7.103,-0.0116
2,2019,7.186,-0.0113
3,2018,7.268,-0.0193
4,2017,7.411,-0.0189
5,2016,7.554,-0.0186
6,2015,7.697,-0.0182
7,2014,7.84,-0.0179
8,2013,7.983,-0.0164
9,2012,8.116,-0.0161
10,2011,8.249,-0.0157
11,2010,8.381,-0.0156
12,2009,8.514,-0.0154
13,2008,8.647,-0.0119
14,2007,8.751,-0.0117
15,2006,8.855,-0.0116
16,2005,8.959,-0.0115
17,2004,9.063,-0.0113
18,2003,9.167,-0.0041
19,2002,9.205,-0.0041
20,2001,9.243,-0.0042
21,2000,9.282,-0.0041
22,1999,9.32,-0.0041
23,1998,9.358,-0.0042
24,1997,9.397,-0.0041
25,1996,9.436,-0.0042
26,1995,9.476,-0.0041
27,1994,9.515,-0.0041
28,1993,9.554,-0.0155
29,1992,9.704,-0.0153
30,1991,9.855,-0.015
31,1990,10.005,-0.0149
32,1989,10.156,-0.0146
33,1988,10.306,-0.0288
34,1987,10.612,-0.028
35,1986,10.918,-0.0273
36,1985,11.224,-0.0265
37,1984,11.53,-0.0259
38,1983,11.836,-0.0283
39,1982,12.181,-0.0275
40,1981,12.525,-0.0268
41,1980,12.87,-0.026
42,1979,13.214,-0.0254
43,1978,13.559,-0.0206
44,1977,13.844,-0.0202
45,1976,14.129,-0.0197
46,1975,14.413,-0.0194
47,1974,14.698,-0.019
48,1973,14.983,-0.0167
49,1972,15.238,-0.0165
50,1971,15.493,-0.0163
51,1970,15.749,-0.0159
52,1969,16.004,-0.0157
53,1968,16.259,-0.028
54,1967,16.727,-0.0272
55,1966,17.195,-0.0264
56,1965,17.662,-0.0258
57,1964,18.13,-0.0252
58,1963,18.598,-0.0261
59,1962,19.097,-0.0254
60,1961,19.595,-0.0248
61,1960,20.094,-0.0242
62,1959,20.592,-0.0237
63,1958,21.091,-0.0185
64,1957,21.488,-0.0181
65,1956,21.885,-0.0178
66,1955,22.281,-0.0175
67,1954,22.678,-0.0172
68,1953,23.075,-0.0169
69,1952,23.472,-0.0166
70,1951,23.869,-0.0163
71,1950,24.265,0
