S NO.,Year,Death Rate,Growth Rate
1,2020,6.367,0.0025
2,2019,6.351,0.0025
3,2018,6.335,0.0003
4,2017,6.333,0.0003
5,2016,6.331,0.0003
6,2015,6.329,0.0003
7,2014,6.327,0.0003
8,2013,6.325,-0.0166
9,2012,6.432,-0.0164
10,2011,6.539,-0.0162
11,2010,6.647,-0.0158
12,2009,6.754,-0.0156
13,2008,6.861,-0.0105
14,2007,6.934,-0.0106
15,2006,7.008,-0.0103
16,2005,7.081,-0.0103
17,2004,7.155,-0.0101
18,2003,7.228,-0.028
19,2002,7.436,-0.0272
20,2001,7.644,-0.0266
21,2000,7.853,-0.0258
22,1999,8.061,-0.0252
23,1998,8.269,-0.0271
24,1997,8.499,-0.0263
25,1996,8.729,-0.0258
26,1995,8.96,-0.025
27,1994,9.19,-0.0244
28,1993,9.42,-0.0279
29,1992,9.69,-0.0271
30,1991,9.96,-0.0265
31,1990,10.231,-0.0257
32,1989,10.501,-0.0251
33,1988,10.771,-0.0301
34,1987,11.105,-0.0292
35,1986,11.439,-0.0284
36,1985,11.773,-0.0276
37,1984,12.107,-0.0268
38,1983,12.441,-0.0112
39,1982,12.582,-0.0111
40,1981,12.723,-0.011
41,1980,12.864,-0.0108
42,1979,13.005,-0.0107
43,1978,13.146,-0.0128
44,1977,13.317,-0.0127
45,1976,13.488,-0.0124
46,1975,13.658,-0.0124
47,1974,13.829,-0.0122
48,1973,14,-0.029
49,1972,14.418,-0.0281
50,1971,14.835,-0.0274
51,1970,15.253,-0.0266
52,1969,15.67,-0.026
53,1968,16.088,-0.0302
54,1967,16.589,-0.0293
55,1966,17.09,-0.0285
56,1965,17.592,-0.0277
57,1964,18.093,-0.0269
58,1963,18.594,-0.0238
59,1962,19.047,-0.0232
60,1961,19.5,-0.0227
61,1960,19.953,-0.0222
62,1959,20.406,-0.0217
63,1958,20.859,-0.0083
64,1957,21.033,-0.0082
65,1956,21.207,-0.0081
66,1955,21.381,-0.0081
67,1954,21.555,-0.008
68,1953,21.729,-0.0079
69,1952,21.903,-0.0079
70,1951,22.077,-0.0078
71,1950,22.251,0
