S NO.,Year,Death Rate,Growth Rate
1,2020,5.968,0.0115
2,2019,5.9,0.0118
3,2018,5.831,0.0019
4,2017,5.82,0.0019
5,2016,5.809,0.0021
6,2015,5.797,0.0019
7,2014,5.786,0.0019
8,2013,5.775,0.0101
9,2012,5.717,0.0104
10,2011,5.658,0.0104
11,2010,5.6,0.0106
12,2009,5.541,0.0106
13,2008,5.483,-0.0004
14,2007,5.485,-0.0004
15,2006,5.487,-0.0004
16,2005,5.489,-0.0004
17,2004,5.491,-0.0004
18,2003,5.493,0.0022
19,2002,5.481,0.002
20,2001,5.47,0.0022
21,2000,5.458,0.002
22,1999,5.447,0.0022
23,1998,5.435,-0.0143
24,1997,5.514,-0.0141
25,1996,5.593,-0.0138
26,1995,5.671,-0.0137
27,1994,5.75,-0.0136
28,1993,5.829,-0.0319
29,1992,6.021,-0.0309
30,1991,6.213,-0.03
31,1990,6.405,-0.0291
32,1989,6.597,-0.0283
33,1988,6.789,-0.0149
34,1987,6.892,-0.0147
35,1986,6.995,-0.0145
36,1985,7.098,-0.0143
37,1984,7.201,-0.0141
38,1983,7.304,-0.0135
39,1982,7.404,-0.0133
40,1981,7.504,-0.013
41,1980,7.603,-0.013
42,1979,7.703,-0.0128
43,1978,7.803,-0.0018
44,1977,7.817,-0.0017
45,1976,7.83,-0.0018
46,1975,7.844,-0.0017
47,1974,7.857,-0.0018
48,1973,7.871,-0.0089
49,1972,7.942,-0.0089
50,1971,8.013,-0.0088
51,1970,8.084,-0.0087
52,1969,8.155,-0.0086
53,1968,8.226,-0.019
54,1967,8.385,-0.0186
55,1966,8.544,-0.0182
56,1965,8.702,-0.0179
57,1964,8.861,-0.0176
58,1963,9.02,-0.0337
59,1962,9.335,-0.0326
60,1961,9.65,-0.0315
61,1960,9.964,-0.0306
62,1959,10.279,-0.0297
63,1958,10.594,-0.0407
64,1957,11.043,-0.0391
65,1956,11.492,-0.0375
66,1955,11.94,-0.0362
67,1954,12.389,-0.035
68,1953,12.838,-0.0338
69,1952,13.287,-0.0327
70,1951,13.736,-0.0316
71,1950,14.184,0
