S NO.,Year,Death Rate,Growth Rate
1,2020,7.099,-0.01
2,2019,7.171,-0.0099
3,2018,7.243,-0.0125
4,2017,7.335,-0.0124
5,2016,7.427,-0.0122
6,2015,7.519,-0.0121
7,2014,7.611,-0.0119
8,2013,7.703,-0.0237
9,2012,7.89,-0.0232
10,2011,8.077,-0.0226
11,2010,8.264,-0.0221
12,2009,8.451,-0.0216
13,2008,8.638,-0.0245
14,2007,8.855,-0.0239
15,2006,9.072,-0.0235
16,2005,9.29,-0.0228
17,2004,9.507,-0.0223
18,2003,9.724,-0.0213
19,2002,9.936,-0.0208
20,2001,10.147,-0.0205
21,2000,10.359,-0.02
22,1999,10.57,-0.0197
23,1998,10.782,-0.0177
24,1997,10.976,-0.0174
25,1996,11.17,-0.0172
26,1995,11.365,-0.0168
27,1994,11.559,-0.0165
28,1993,11.753,-0.0089
29,1992,11.859,-0.0089
30,1991,11.965,-0.0089
31,1990,12.072,-0.0087
32,1989,12.178,-0.0086
33,1988,12.284,-0.0103
34,1987,12.412,-0.0102
35,1986,12.54,-0.0101
36,1985,12.668,-0.01
37,1984,12.796,-0.0099
38,1983,12.924,-0.008
39,1982,13.028,-0.0078
40,1981,13.131,-0.0079
41,1980,13.235,-0.0077
42,1979,13.338,-0.0077
43,1978,13.442,-0.0107
44,1977,13.587,-0.0105
45,1976,13.731,-0.0104
46,1975,13.876,-0.0103
47,1974,14.02,-0.0102
48,1973,14.165,-0.0175
49,1972,14.417,-0.0172
50,1971,14.669,-0.017
51,1970,14.922,-0.0166
52,1969,15.174,-0.0163
53,1968,15.426,-0.0178
54,1967,15.705,-0.0175
55,1966,15.985,-0.0172
56,1965,16.264,-0.0169
57,1964,16.544,-0.0166
58,1963,16.823,-0.0181
59,1962,17.133,-0.0178
60,1961,17.443,-0.0175
61,1960,17.754,-0.0172
62,1959,18.064,-0.0169
63,1958,18.374,-0.0212
64,1957,18.772,-0.0207
65,1956,19.169,-0.0203
66,1955,19.567,-0.0199
67,1954,19.964,-0.0195
68,1953,20.362,-0.0192
69,1952,20.76,-0.0188
70,1951,21.157,-0.0185
71,1950,21.555,0
