S NO.,Year,Death Rate,Growth Rate
1,2020,6.276,0.0014
2,2019,6.267,0.0014
3,2018,6.258,-0.0014
4,2017,6.267,-0.0014
5,2016,6.276,-0.0014
6,2015,6.285,-0.0014
7,2014,6.294,-0.0014
8,2013,6.303,0.0088
9,2012,6.248,0.0089
10,2011,6.193,0.0091
11,2010,6.137,0.009
12,2009,6.082,0.0091
13,2008,6.027,0.0116
14,2007,5.958,0.0117
15,2006,5.889,0.0117
16,2005,5.821,0.012
17,2004,5.752,0.0121
18,2003,5.683,0.0073
19,2002,5.642,0.0071
20,2001,5.602,0.0074
21,2000,5.561,0.0072
22,1999,5.521,0.0075
23,1998,5.48,-0.0108
24,1997,5.54,-0.0107
25,1996,5.6,-0.0108
26,1995,5.661,-0.0105
27,1994,5.721,-0.0104
28,1993,5.781,-0.0363
29,1992,5.999,-0.0352
30,1991,6.218,-0.0339
31,1990,6.436,-0.0329
32,1989,6.655,-0.0317
33,1988,6.873,-0.0252
34,1987,7.051,-0.0248
35,1986,7.23,-0.024
36,1985,7.408,-0.0236
37,1984,7.587,-0.0229
38,1983,7.765,-0.0612
39,1982,8.271,-0.0577
40,1981,8.777,-0.0545
41,1980,9.283,-0.0517
42,1979,9.789,-0.0492
43,1978,10.295,-0.0568
44,1977,10.915,-0.0537
45,1976,11.535,-0.051
46,1975,12.155,-0.0485
47,1974,12.775,-0.0463
48,1973,13.395,-0.0609
49,1972,14.264,-0.0575
50,1971,15.134,-0.0543
51,1970,16.003,-0.0516
52,1969,16.873,-0.049
53,1968,17.742,-0.043
54,1967,18.539,-0.0413
55,1966,19.337,-0.0396
56,1965,20.134,-0.0381
57,1964,20.932,-0.0367
58,1963,21.729,-0.0249
59,1962,22.284,-0.0243
60,1961,22.839,-0.0237
61,1960,23.394,-0.0232
62,1959,23.949,-0.0226
63,1958,24.504,-0.017
64,1957,24.927,-0.0167
65,1956,25.35,-0.0164
66,1955,25.772,-0.0161
67,1954,26.195,-0.0159
68,1953,26.618,-0.0156
69,1952,27.041,-0.0154
70,1951,27.464,-0.0151
71,1950,27.886,0
