S NO.,Year,Death Rate,Growth Rate
1,2020,5.816,0.0038
2,2019,5.794,0.0038
3,2018,5.772,-0.0142
4,2017,5.855,-0.014
5,2016,5.938,-0.0136
6,2015,6.02,-0.0136
7,2014,6.103,-0.0134
8,2013,6.186,-0.001
9,2012,6.192,-0.001
10,2011,6.198,-0.0008
11,2010,6.203,-0.001
12,2009,6.209,-0.001
13,2008,6.215,-0.0061
14,2007,6.253,-0.0062
15,2006,6.292,-0.006
16,2005,6.33,-0.0061
17,2004,6.369,-0.0059
18,2003,6.407,-0.0142
19,2002,6.499,-0.014
20,2001,6.591,-0.0138
21,2000,6.683,-0.0136
22,1999,6.775,-0.0134
23,1998,6.867,-0.019
24,1997,7,-0.0186
25,1996,7.133,-0.0184
26,1995,7.267,-0.018
27,1994,7.4,-0.0177
28,1993,7.533,-0.0112
29,1992,7.618,-0.0112
30,1991,7.704,-0.0109
31,1990,7.789,-0.0109
32,1989,7.875,-0.0107
33,1988,7.96,-0.017
34,1987,8.098,-0.0168
35,1986,8.236,-0.0166
36,1985,8.375,-0.0162
37,1984,8.513,-0.016
38,1983,8.651,-0.0157
39,1982,8.789,-0.0156
40,1981,8.928,-0.0152
41,1980,9.066,-0.0151
42,1979,9.205,-0.0148
43,1978,9.343,-0.014
44,1977,9.476,-0.0138
45,1976,9.609,-0.0138
46,1975,9.743,-0.0135
47,1974,9.876,-0.0133
48,1973,10.009,-0.0212
49,1972,10.226,-0.0209
50,1971,10.444,-0.0204
51,1970,10.661,-0.02
52,1969,10.879,-0.0196
53,1968,11.096,-0.0311
54,1967,11.452,-0.0301
55,1966,11.807,-0.0293
56,1965,12.163,-0.0284
57,1964,12.518,-0.0277
58,1963,12.874,-0.019
59,1962,13.124,-0.0186
60,1961,13.373,-0.0184
61,1960,13.623,-0.0179
62,1959,13.872,-0.0177
63,1958,14.122,-0.0067
64,1957,14.217,-0.0066
65,1956,14.312,-0.0067
66,1955,14.408,-0.0066
67,1954,14.503,-0.0065
68,1953,14.598,-0.0065
69,1952,14.693,-0.0064
70,1951,14.788,-0.0064
71,1950,14.884,0
