S NO.,Year,Death Rate,Growth Rate
1,2020,5.17,-0.0126
2,2019,5.236,-0.0123
3,2018,5.301,-0.0092
4,2017,5.35,-0.0091
5,2016,5.399,-0.0092
6,2015,5.449,-0.0089
7,2014,5.498,-0.0088
8,2013,5.547,0.0011
9,2012,5.541,0.0011
10,2011,5.535,0.0013
11,2010,5.528,0.0011
12,2009,5.522,0.0011
13,2008,5.516,-0.0109
14,2007,5.577,-0.0108
15,2006,5.638,-0.0109
16,2005,5.7,-0.0106
17,2004,5.761,-0.0105
18,2003,5.822,-0.0207
19,2002,5.945,-0.0203
20,2001,6.068,-0.0197
21,2000,6.19,-0.0195
22,1999,6.313,-0.0191
23,1998,6.436,-0.0129
24,1997,6.52,-0.0129
25,1996,6.605,-0.0126
26,1995,6.689,-0.0125
27,1994,6.774,-0.0122
28,1993,6.858,-0.0172
29,1992,6.978,-0.0169
30,1991,7.098,-0.0168
31,1990,7.219,-0.0164
32,1989,7.339,-0.0161
33,1988,7.459,-0.0251
34,1987,7.651,-0.0245
35,1986,7.843,-0.0239
36,1985,8.035,-0.0233
37,1984,8.227,-0.0228
38,1983,8.419,-0.0312
39,1982,8.69,-0.0304
40,1981,8.962,-0.0294
41,1980,9.233,-0.0286
42,1979,9.505,-0.0277
43,1978,9.776,-0.0307
44,1977,10.086,-0.0297
45,1976,10.395,-0.029
46,1975,10.705,-0.0281
47,1974,11.014,-0.0274
48,1973,11.324,-0.0237
49,1972,11.599,-0.0232
50,1971,11.874,-0.0226
51,1970,12.148,-0.0221
52,1969,12.423,-0.0217
53,1968,12.698,-0.0341
54,1967,13.146,-0.033
55,1966,13.595,-0.0319
56,1965,14.043,-0.031
57,1964,14.492,-0.03
58,1963,14.94,-0.028
59,1962,15.37,-0.0272
60,1961,15.799,-0.0265
61,1960,16.229,-0.0258
62,1959,16.658,-0.0252
63,1958,17.088,-0.0262
64,1957,17.547,-0.0255
65,1956,18.006,-0.0248
66,1955,18.464,-0.0243
67,1954,18.923,-0.0237
68,1953,19.382,-0.0231
69,1952,19.841,-0.0226
70,1951,20.3,-0.0221
71,1950,20.758,0
